item_id,project_id,category,sub_category,item_name,unit,quantity,rate_per_unit_inr,amount_inr
ITM000001,PRJ0001,Civil,Concrete,RCC M25 for footings/columns,cum,1936.67,8063.14,15615641.34
ITM000002,PRJ0001,Civil,Earthwork,Backfilling with excavated earth,cum,1476.05,125.48,185214.75
ITM000003,PRJ0001,Civil,Roofing,RCC roof slab with waterproofing,sqm,73651.01,1163.75,85711362.89
ITM000004,PRJ0001,Civil,Reinforcement,TMT steel bars Fe 500,kg,415703.01,67.25,27956027.42
ITM000005,PRJ0001,Civil,Masonry,Brickwork in CM 1:6 (230mm),sqm,41611.05,668.92,27834463.57
ITM000006,PRJ0001,Civil,Doors and Windows,Aluminium windows with glazing,sqm,5911.63,3729.82,22049315.81
ITM000007,PRJ0001,Civil,Structural Steel,Structural steel fabrication & erection,kg,205475.13,98.89,20319435.61
ITM000008,PRJ0001,Civil,Earthwork,Excavation for foundation,cum,1337.24,244.49,326941.81
ITM000009,PRJ0001,Civil,Painting,Exterior weatherproof paint,sqm,94984.77,114.83,10907101.14
ITM000010,PRJ0001,Civil,Flooring,Granite flooring,sqm,15832.34,2863.36,45333689.06
ITM000011,PRJ0001,Civil,Plastering,External cement plaster 20mm,sqm,84685.03,,
ITM000012,PRJ0001,Civil,Masonry,AAC block masonry (200mm),sqm,27025.75,585.2,15815468.9
ITM000013,PRJ0001,Civil,Doors and Windows,Flush doors with frame,nos,95.0,8165.56,775728.2
ITM000014,PRJ0001,Civil,Concrete,RCC M25 for slabs/beams,cum,4192.76,9437.31,39568375.88
ITM000015,PRJ0001,Electrical,Switchgear,MCCB panel 200A,nos,6.0,17923.99,107543.94
ITM000016,PRJ0001,Electrical,Switchgear,MCB distribution board (8-way),nos,65.0,2603.18,169206.7
ITM000017,PRJ0001,Electrical,Lighting,LED street/flood light 50W,nos,132.0,1854.15,244747.8
ITM000018,PRJ0001,Electrical,Transformer,Distribution transformer (as per load calc),nos,1.0,649698.4,649698.4
ITM000019,PRJ0001,Electrical,Fire Safety Electrical,Fire alarm panel & detectors,nos,7.0,28517.56,199622.92
ITM000020,PRJ0001,Electrical,DG Set,Diesel generator set (backup),nos,1.0,461903.61,461903.61
