project_id,building_type,city,state,built_up_area_sqft,num_floors,project_start_date,estimated_duration_months,total_civil_cost_inr,total_electrical_cost_inr,total_plumbing_cost_inr,total_project_cost_inr,cost_per_sqft_inr
PRJ0001,Commercial - Hotel,Jaipur,Rajasthan,86553.0,4,2024-04-24,16.0,312398766.38,7412338.92,4631561.83,324442667.13,3748.49
PRJ0002,Industrial - Heavy Manufacturing,Surat,Gujarat,52963.0,3,2023-12-29,13.0,350433553.23,7396210.28,2285286.11,360115049.62,6799.37
PRJ0003,Residential - Independent House,Ahmedabad,Gujarat,1829.0,4,2025-12-17,11.0,7078587.28,1805663.67,180915.27,9065166.22,4956.35
PRJ0004,Commercial - Hospital,Surat,Gujarat,280394.0,5,2021-10-18,11.0,738497265.99,18694471.64,33106411.74,790298149.37,2818.53
PRJ0005,Industrial - Warehouse,Jaipur,Rajasthan,171320.0,11,2023-08-03,14.0,683570721.0,17620358.94,18474715.9,719665795.84,4200.71
PRJ0006,Residential - Apartment Complex,Pune,Maharashtra,25550.0,14,2023-02-04,11.0,110284829.91,5577012.62,3139947.75,119001790.28,4657.6
PRJ0007,Industrial - Heavy Manufacturing,Ahmedabad,Gujarat,159038.0,6,2024-03-21,17.0,610750284.67,24751341.86,9804873.46,645306499.99,4057.56
PRJ0008,Industrial - Heavy Manufacturing,Pune,Maharashtra,124899.0,1,2024-05-28,10.0,857555554.87,20138722.93,7621343.02,885315620.82,7088.25
PRJ0009,Residential - Apartment Complex,Bengaluru,Karnataka,111704.0,1,2025-09-18,4.0,389973842.24,23935019.79,9713238.9,423622100.93,3792.36
PRJ0010,Commercial - Hospital,Jaipur,Rajasthan,66429.0,2,2022-02-07,23.0,196871270.21,5494981.02,6030109.22,208396360.45,3137.13
PRJ0011,Commercial - Hospital,Ahmedabad,Gujarat,164028.0,6,2023-04-25,10.0,889965044.11,17630139.93,9282899.45,916878083.49,5589.77
PRJ0012,Commercial - Retail / Mall,Nashik,Maharashtra,370444.0,7,2023-04-08,13.0,1608285849.41,54006270.37,37759824.13,1700051943.91,4589.23
PRJ0013,Commercial - Retail / Mall,Pune,Maharashtra,299557.0,9,2022-04-06,13.0,1601741788.48,32511004.31,44245760.29,1678498553.08,5603.27
PRJ0014,Industrial - Warehouse,Delhi,Delhi,226426.0,1,2022-10-10,13.0,1190772400.27,28260711.37,19327569.21,1238360680.85,5469.16
PRJ0015,Residential - Apartment Complex,Lucknow,Uttar Pradesh,56704.0,5,2021-07-10,3.0,265466056.0,9384551.06,5013692.55,279864299.61,4935.53
PRJ0016,Industrial - Light Manufacturing,Nagpur,Maharashtra,83135.0,11,2025-07-05,12.0,330142141.42,5006452.92,9546245.52,344694839.86,4146.21
PRJ0017,Commercial - Hotel,Mumbai,Maharashtra,220258.0,1,2021-02-19,9.0,1518492017.07,44714677.44,14929493.48,1578136187.99,7164.94
PRJ0018,Industrial - Light Manufacturing,Kolkata,West Bengal,48719.0,10,2022-08-23,13.0,253930724.58,8240479.39,5845686.0,268016889.97,5501.28
