order_id,order_date,month,day_of_week,quarter,is_festival_period,material_type,supplier_tier,origin_state,destination_state,distance_km,order_quantity,promised_lead_days,monsoon_intensity,monsoon_sensitivity,dest_logistics_score,orig_logistics_score,dest_monsoon_severity,supplier_reliability,past_delay_rate,delay_probability,is_delayed,actual_delay_days,vehicle_type,temperature,humidity,traffic_status,waiting_time,inventory_level,asset_utilization,demand_forecast,order_value_inr,road_quality,supplier_capacity,fuel_price_index,driver_experience
ORD-00001,2023-08-17,8,3,3,1,TMT Steel,Tier 3 (Local Supplier),Rajasthan,Gujarat,1276,21.3,19,0.85,0.3,0.82,0.65,0.4,0.55,0.576,0.754,1,4,Truck,35.2,70.8,Heavy,53,221,62.0,430,1320600.0,0.73,73,104.12,21
ORD-00002,2023-07-29,7,5,3,0,Plywood,Tier 3 (Local Supplier),Haryana,Madhya Pradesh,426,1741.0,9,0.9,0.8,0.55,0.71,0.5,0.55,0.567,0.65,1,17,Mini Truck,18.2,36.4,Detour,53,574,82.5,781,165395.0,0.63,65,112.31,15
ORD-00003,2023-03-07,3,1,1,0,TMT Steel,Tier 1 (Large Manufacturer),Gujarat,Gujarat,180,46.2,14,0.0,0.3,0.82,0.82,0.4,0.88,0.06,0.255,0,0,Mini Truck,27.9,35.8,Clear,40,700,98.5,341,2864400.0,0.82,75,106.66,21
ORD-00004,2025-05-09,5,4,2,0,Coarse Aggregate,Tier 2 (Regional Distributor),Telangana,Rajasthan,925,63.9,9,0.15,0.5,0.65,0.7,0.3,0.72,0.339,0.735,1,7,Mini Truck,24.9,66.2,Detour,55,205,80.5,576,76680.0,0.68,75,90.23,12
ORD-00005,2023-11-23,11,3,4,0,Paint,Tier 2 (Regional Distributor),Uttar Pradesh,Rajasthan,487,4191.0,6,0.05,0.1,0.65,0.58,0.3,0.72,0.13,0.42,0,0,Truck,39.2,71.4,Moderate,46,592,61.3,114,1173480.0,0.61,50,108.57,7
ORD-00006,2024-11-20,11,2,4,0,OPC Cement,Tier 1 (Large Manufacturer),Bihar,Tamil Nadu,568,16.9,6,0.05,0.7,0.75,0.45,0.7,0.88,0.02,0.681,1,34,Trailer,37.0,72.4,Detour,37,132,57.9,506,6422.0,0.6,86,97.53,3
ORD-00007,2024-06-25,6,1,2,0,TMT Steel,Tier 3 (Local Supplier),West Bengal,Madhya Pradesh,792,44.2,16,0.7,0.3,0.55,0.62,0.5,0.55,0.457,0.746,1,42,Mini Truck,35.0,64.6,Detour,58,492,87.0,957,2740400.0,0.58,62,112.3,19
ORD-00008,2025-02-14,2,4,1,0,OPC Cement,Tier 3 (Local Supplier),Rajasthan,Jharkhand,1580,66.6,11,0.0,0.7,0.42,0.65,0.7,0.55,0.49,0.664,1,3,Trailer,22.5,91.6,Detour,55,938,68.0,185,25308.0,0.54,51,118.3,10
ORD-00009,2023-05-23,5,1,2,0,TMT Steel,Tier 3 (Local Supplier),Gujarat,Odisha,1504,17.8,20,0.15,0.3,0.5,0.82,0.8,0.55,0.38,0.717,1,19,Trailer,25.8,89.4,Detour,45,484,65.3,732,1103600.0,0.66,62,97.12,9
ORD-00010,2024-04-21,4,6,2,0,OPC Cement,Tier 2 (Regional Distributor),Rajasthan,West Bengal,1407,47.6,11,0.05,0.7,0.62,0.65,0.8,0.72,0.126,0.438,1,1,Trailer,25.1,66.1,Moderate,42,332,73.2,929,18088.0,0.64,61,98.67,7
ORD-00011,2024-12-28,12,5,4,1,Coarse Aggregate,Tier 3 (Local Supplier),Rajasthan,Punjab,1398,104.3,11,0.0,0.5,0.74,0.65,0.5,0.55,0.513,0.647,1,19,Mini Truck,29.7,61.9,Detour,63,809,65.9,935,125160.0,0.7,60,108.53,24
ORD-00012,2023-12-17,12,6,4,0,HDPE Pipes,Tier 3 (Local Supplier),Gujarat,Karnataka,1684,150.0,23,0.0,0.1,0.72,0.82,0.7,0.55,0.493,0.438,0,0,Container,18.9,70.5,Moderate,46,502,87.0,610,67500.0,0.77,69,95.47,7
ORD-00013,2024-03-25,3,0,1,1,Plywood,Tier 2 (Regional Distributor),Jharkhand,Odisha,790,1299.0,10,0.0,0.8,0.5,0.42,0.8,0.72,0.389,0.603,1,37,Mini Truck,22.6,67.5,Detour,47,397,66.6,863,123405.0,0.46,75,106.99,16
ORD-00014,2023-03-07,3,1,1,0,AAC Blocks,Tier 2 (Regional Distributor),Rajasthan,Tamil Nadu,1210,348.0,17,0.0,0.2,0.75,0.65,0.7,0.72,0.332,0.692,1,42,Truck,24.1,77.0,Detour,39,307,95.4,251,19140.0,0.7,82,101.44,24
ORD-00015,2024-10-06,10,6,4,0,Coarse Aggregate,Tier 3 (Local Supplier),West Bengal,Bihar,302,147.3,6,0.2,0.5,0.45,0.62,0.7,0.55,0.557,0.517,1,11,Container,32.3,48.5,Moderate,38,260,55.8,497,176760.0,0.54,97,103.79,20
ORD-00016,2023-10-13,10,4,4,0,Coarse Aggregate,Tier 3 (Local Supplier),Madhya Pradesh,Madhya Pradesh,236,11.1,6,0.2,0.5,0.55,0.55,0.5,0.55,0.554,0.619,1,4,Trailer,23.4,93.4,Detour,57,464,76.9,875,13320.0,0.55,76,93.83,2
ORD-00017,2025-05-27,5,1,2,0,Vitrified Tiles,Tier 2 (Regional Distributor),Uttar Pradesh,Gujarat,965,138.0,23,0.15,0.2,0.82,0.58,0.4,0.72,0.328,0.551,1,1,Truck,38.7,92.2,Detour,50,472,94.8,991,89700.0,0.7,86,103.86,24
ORD-00018,2023-07-06,7,3,3,0,TMT Steel,Tier 1 (Large Manufacturer),Karnataka,Kerala,402,76.4,15,0.9,0.3,0.68,0.72,0.95,0.88,0.138,0.457,0,0,Truck,25.0,45.2,Moderate,51,892,72.8,665,4736800.0,0.7,89,97.26,14
ORD-00019,2025-05-14,5,2,2,0,Vitrified Tiles,Tier 1 (Large Manufacturer),Bihar,Bihar,66,633.0,20,0.15,0.2,0.45,0.45,0.7,0.88,0.076,0.431,0,0,Container,24.5,60.2,Moderate,29,917,94.0,624,411450.0,0.45,85,114.23,13
ORD-00020,2023-01-24,1,1,1,0,Plywood,Tier 3 (Local Supplier),Tamil Nadu,Kerala,1003,162.0,12,0.0,0.8,0.68,0.75,0.95,0.55,0.379,0.633,1,3,Trailer,39.6,85.3,Detour,64,669,56.4,791,15390.0,0.72,55,96.36,15
ORD-00021,2024-11-27,11,2,4,0,OPC Cement,Tier 2 (Regional Distributor),Bihar,Karnataka,154,87.2,5,0.05,0.7,0.72,0.45,0.7,0.72,0.118,0.351,0,0,Container,22.3,59.7,Moderate,32,966,83.7,919,33136.0,0.58,62,98.79,18
ORD-00022,2024-06-23,6,6,2,0,HDPE Pipes,Tier 1 (Large Manufacturer),Madhya Pradesh,Haryana,1777,171.0,23,0.7,0.1,0.71,0.55,0.5,0.88,0.094,0.617,1,12,Mini Truck,22.1,39.9,Detour,53,226,86.3,740,76950.0,0.63,96,106.72,2
ORD-00023,2024-09-03,9,1,3,0,Plywood,Tier 3 (Local Supplier),Telangana,Gujarat,730,107.0,10,0.6,0.8,0.82,0.7,0.4,0.55,0.506,0.65,1,17,Truck,23.5,56.4,Detour,48,185,55.6,319,10165.0,0.76,96,114.75,17
ORD-00024,2023-11-27,11,0,4,0,HDPE Pipes,Tier 3 (Local Supplier),Haryana,Maharashtra,671,404.0,18,0.05,0.1,0.78,0.71,0.8,0.55,0.298,0.627,1,9,Trailer,29.9,76.0,Detour,46,115,58.2,858,181800.0,0.74,98,106.05,20
