project_id,project_type,state,project_size_sqft,project_duration_months,month_of_construction,contractor_experience_yrs,num_workers,workforce_skill_level,supervision_quality,material_type,blueprint_quantity,actual_quantity_used,wastage_pct,wastage_category,cost_overrun_inr,logistics_score,monsoon_intensity,monsoon_sensitivity
PRJ-0001,Data Center,Haryana,1057,19,3,27,437,Unskilled,Average,Paint,730.0,776.18,6.33,Medium,12930.0,0.71,0.0,0.1
PRJ-0002,Data Center,West Bengal,6429,8,2,29,372,Unskilled,Average,Plywood,347.0,398.23,14.76,Medium,4867.0,0.62,0.0,0.8
PRJ-0003,Data Center,Bihar,2507,10,5,1,483,Semi-skilled,Excellent,Fly Ash Bricks,287.0,311.55,8.56,Medium,196.0,0.45,0.15,0.6
PRJ-0004,Commercial Complex,Punjab,9366,21,2,1,433,Unskilled,Average,Structural Steel,20.9,22.42,7.25,Medium,114000.0,0.74,0.0,0.2
PRJ-0005,Bridge Construction,Odisha,35764,20,10,17,334,Unskilled,Good,Coarse Aggregate,28.1,31.23,11.12,Medium,3756.0,0.5,0.2,0.5
PRJ-0006,Data Center,Bihar,4314,17,9,18,92,Unskilled,Good,Vitrified Tiles,1563.0,1724.9,10.36,Medium,105235.0,0.45,0.6,0.2
PRJ-0007,Data Center,Karnataka,10943,22,7,26,27,Semi-skilled,Average,HDPE Pipes,766.0,812.38,6.05,Medium,20871.0,0.72,0.9,0.1
PRJ-0008,School/College,Madhya Pradesh,10269,11,11,16,290,Expert,Good,Electrical Cable,551.0,582.26,5.67,Medium,68772.0,0.55,0.05,0.1
PRJ-0009,Commercial Complex,Uttar Pradesh,14156,30,1,14,112,Unskilled,Good,Vitrified Tiles,152.0,170.91,12.44,Medium,12291.0,0.58,0.0,0.2
PRJ-0010,Hospital,Haryana,1382,15,7,5,31,Expert,Poor,Paint,435.0,460.8,5.93,Medium,7224.0,0.71,0.9,0.1
PRJ-0011,Metro Rail,West Bengal,39208,54,11,18,445,Skilled,Average,Fly Ash Bricks,6348.0,6827.81,7.56,Medium,3838.0,0.62,0.05,0.6
PRJ-0012,Commercial Complex,Madhya Pradesh,20731,23,1,30,91,Expert,Good,AAC Blocks,4746.0,4990.4,5.15,Medium,13442.0,0.55,0.0,0.2
PRJ-0013,Metro Rail,Madhya Pradesh,12718,47,6,16,253,Unskilled,Poor,Paint,1733.0,1909.72,10.2,Medium,49482.0,0.55,0.7,0.1
PRJ-0014,Industrial Warehouse,West Bengal,7309,13,5,26,58,Unskilled,Good,Plywood,459.0,585.38,27.53,High,12006.0,0.62,0.15,0.8
